Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	a6eb2022-6dd0-42b1-9614-13daf2a76c2d
Plate Name	20191212_CellCharacterisationX8_Hypoxia
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	3	41	1902	1914	[1733,1717,2158,2158]	901.76	329.03	Hypoxia		CIOV1		232.43	0.964172	0.871652	2845.98	73932900	29.2699	216.618	5627310	9.46862	1	0	0	41	0	232.43	0.964172	2845.98	73932900	216.618	5627310	751	3	1	0	
1	1	0	3	42	967	2052	[691,1946,1101,2158]	802.84	317.12	Hypoxia		CIOV1		164.467	0.975644	0.763001	3033.35	55759100	18.6307	233.699	4295860	9.51193	1	0	0	42	0	164.467	0.975644	3033.35	55759100	233.699	4295860	346	1	0	0	
1	1	0	3	43	544	2052	[360,1893,682,2158]	766.28	318.22	Hypoxia		CIOV1		84.3718	0.854842	0.583067	5040.07	47527900	24.6863	251.08	2367690	9.45083	1	0	0	43	0	84.3718	0.854842	5040.07	47527900	251.08	2367690	0	0	0	0	
1	1	0	3	44	193	2063	[87,1968,383,2158]	740.02	316.46	Hypoxia		CIOV1		80.623	0.658688	0.443283	10069.3	90734300	17.9181	199.638	1798940	7.91572	1	0	0	44	0	80.623	0.658688	10069.3	90734300	199.638	1798940	569	2	1	0	
1	1	0	5	1	1044	105	[934,1,1295,216]	1026.73	-1545.94	Hypoxia		CIOV1		91.4222	0.635969	0.514547	3826.55	39099600	28.6516	259.835	2655000	9.87168	1	0	0	1	0	91.4222	0.635969	3826.55	39099600	259.835	2655000	522	2	1	0	
1	1	0	5	2	1757	95	[1368,1,1927,253]	1084.76	-1545.65	Hypoxia		CIOV1		111.911	0.913588	0.607036	3098.55	38756600	27.6854	245.4	3069470	9.2426	1	0	0	2	0	111.911	0.913588	3098.55	38756600	245.4	3069470	313	1	0	0	
1	1	0	5	3	2004	266	[1844,8,2158,455]	1114.84	-1559.69	Hypoxia		CIOV1		198.833	0.985606	0.8122	2611.96	58045500	23.9074	242.189	5382170	10.7225	0	1	1	3	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	5	4	604	241	[306,1,836,481]	979.66	-1559.62	Hypoxia		CIOV1		186.835	0.983489	0.861887	3333.38	69607600	21.9355	260.062	5430620	10.5746	1	0	0	4	0	186.835	0.983489	3333.38	69607600	260.062	5430620	315	1	0	0	
1	1	0	5	5	1576	244	[1417,48,1845,443]	1075.92	-1561.88	Hypoxia		CIOV1		127.265	0.873223	0.779926	2930.16	41678600	29.417	245.537	3492520	10.0655	1	1	0	5	0	127.265	0.873223	2930.16	41678600	245.537	3492520	339	1	0	0	
1	1	0	5	6	1265	228	[990,52,1437,449]	1038.34	-1562.68	Hypoxia		CIOV1		142.824	0.949016	0.858323	2839.66	45329400	28.9816	282.05	4502360	11.3051	1	0	0	6	0	142.824	0.949016	2839.66	45329400	282.05	4502360	456	2	1	0	
1	1	0	5	7	193	425	[44,260,356,642]	941.49	-1578.5	Hypoxia		CIOV1		114.712	0.913231	0.639429	4173.35	53506500	21.8336	240.965	3089410	10.0657	1	1	0	7	0	114.712	0.913231	4173.35	53506500	240.965	3089410	253	1	0	0	
1	1	0	5	8	1381	547	[1137,286,1636,783]	1054.98	-1589.26	Hypoxia		CIOV1		220.745	0.946646	0.648997	3559.46	87819100	26.8648	245.942	6067880	10.1943	1	0	0	8	0	220.745	0.946646	3559.46	87819100	245.942	6067880	521	2	1	0	
1	1	0	5	9	450	507	[207,289,646,733]	962.93	-1588.05	Hypoxia		CIOV1		98.8752	0.882383	0.630012	4750.7	52500000	27.8226	248.31	2744080	10.5559	1	1	0	9	0	98.8752	0.882383	4750.7	52500000	248.31	2744080	564	2	1	0	
1	1	0	5	10	1986	647	[1812,448,2158,869]	1111.84	-1600.8	Hypoxia		CIOV1		176.653	0.868193	0.770003	2911.94	57493400	21.4857	275.956	5448480	11.7102	1	0	0	10	0	176.653	0.868193	2911.94	57493400	275.956	5448480	272	1	0	0	
1	1	0	5	11	966	660	[781,503,1162,832]	1014.14	-1600.43	Hypoxia		CIOV1		72.6868	0.855171	0.753873	4768.51	38739400	23.6008	360.789	2931050	10.9569	1	0	0	11	0	72.6868	0.855171	4768.51	38739400	360.789	2931050	343	1	0	0	
1	1	0	5	12	631	690	[399,536,872,914]	984.48	-1607.02	Hypoxia		CIOV1		154.178	0.970135	0.761748	3224.89	55571300	23.3502	277.574	4783160	11.5477	1	0	0	12	0	154.178	0.970135	3224.89	55571300	277.574	4783160	552	2	1	0	
1	1	0	5	13	1178	837	[934,619,1404,1060]	1034.82	-1619.91	Hypoxia		CIOV1		168.949	0.978166	0.790629	2618.86	49451900	21.4855	279.42	5276290	12.6978	1	0	0	13	0	168.949	0.978166	2618.86	49451900	279.42	5276290	717	3	1	0	
1	1	0	5	14	119	864	[1,682,240,1077]	932.99	-1620.74	Hypoxia		CIOV1		153.945	0.750917	0.689971	3477.47	59833400	27.3073	256.011	4404920	12.1145	0	1	0	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	5	15	1769	951	[1561,727,1987,1170]	1090.37	-1628.96	Hypoxia		CIOV1		173.423	0.968575	0.906249	2341.73	45389700	19.0111	265.561	5147360	12.0428	1	0	0	15	0	173.423	0.968575	2341.73	45389700	265.561	5147360	264	1	0	0	
1	1	0	5	16	632	1013	[375,807,864,1215]	982.61	-1632.49	Hypoxia		CIOV1		174.515	0.964971	0.59656	5049.27	98486000	25.2366	269.455	5255720	10.9293	1	0	0	16	0	174.515	0.964971	5049.27	98486000	269.455	5255720	349	1	0	0	
1	1	0	5	17	358	1096	[184,889,564,1287]	957.2	-1642.23	Hypoxia		CIOV1		152.961	0.939215	0.867705	3148.71	53830300	24.8761	298.221	5098390	10.7631	1	0	0	17	0	152.961	0.939215	3148.71	53830300	298.221	5098390	461	2	1	0	
1	1	0	5	18	1237	1232	[1029,1014,1454,1443]	1040.25	-1654.27	Hypoxia		CIOV1		201.884	0.958796	0.848534	2659.79	60015500	33.9581	302.056	6815600	13.2557	1	0	0	18	0	201.884	0.958796	2659.79	60015500	302.056	6815600	606	2	1	0	
