Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	af8b1d54-abee-46e8-8e0d-b6681e708724
Plate Name	20191212_CellCharacterisationX8_Normoxia
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	3	10	579	1109	[412,928,749,1296]	772.56	406.85	Normoxia		CIOV1		243.406	0.883674	0.748668	2507.25	68207200	31.2768	320.656	8723120	14.0848	1	0	0	10	0	243.406	0.883674	2507.25	68207200	320.656	8723120	308	1	0	0	
1	1	0	3	11	168	1159	[1,982,346,1497]	732	398.35	Normoxia		CIOV1		228.464	0.962948	0.699699	2991.28	76379300	30.8671	316.268	8075590	14.6628	1	0	0	11	0	228.464	0.962948	2991.28	76379300	316.268	8075590	338	1	0	0	
1	1	0	3	12	1402	1412	[1247,1241,1593,1573]	851.69	379.19	Normoxia		CIOV1		209.451	0.959482	0.88417	2497.52	58464400	24.341	322.141	7541000	15.0613	1	0	0	12	0	209.451	0.959482	2497.52	58464400	322.141	7541000	321	1	0	0	
1	1	0	3	13	843	1529	[673,1350,1026,1694]	797.92	368.38	Normoxia		CIOV1		245.581	0.933823	0.884552	2485.34	68215000	28.5679	290.534	7974270	14.4238	1	0	0	13	0	245.581	0.933823	2485.34	68215000	290.534	7974270	304	1	0	0	
1	1	0	3	14	375	1596	[211,1422,564,1767]	754.21	361.03	Normoxia		CIOV1		221.583	0.979405	0.794117	2881.71	71365500	29.1739	291.929	7229630	14.0576	1	0	0	14	0	221.583	0.979405	2881.71	71365500	291.929	7229630	340	1	0	0	
1	1	0	3	15	1685	1824	[1474,1643,1888,2021]	877.58	339.03	Normoxia		CIOV1		258.751	0.96907	0.868804	2736.4	79133900	24.1646	262.149	7581100	13.0757	1	0	0	15	0	258.751	0.96907	2736.4	79133900	262.149	7581100	346	1	0	0	
1	1	0	3	16	2031	1916	[1861,1731,2158,2158]	909.98	326.38	Normoxia		CIOV1		215.446	0.916462	0.793207	3336.48	80339000	25.4595	278.154	6697670	13.701	0	0	0	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	17	1217	1949	[1035,1789,1377,2113]	831.85	327.79	Normoxia		CIOV1		199.966	0.867977	0.839108	2776.67	62055800	30.067	328.885	7350260	13.9349	1	0	0	17	0	199.966	0.867977	2776.67	62055800	328.885	7350260	331	1	0	0	
1	1	0	3	18	1549	2059	[1440,1959,1796,2158]	869.95	315.41	Normoxia		CIOV1		144.394	0.832903	0.558755	2351.99	37956300	21.7879	332.618	5367790	15.5872	0	0	0	18	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	4	1	2027	131	[1809,1,2158,344]	-935.32	-732.16	Normoxia		CIOV1		283.562	0.746441	0.540996	2313.48	73318800	27.7078	247.294	7837230	12.0611	0	1	1	1	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	4	2	1731	119	[1584,1,1892,238]	-963.28	-729.72	Normoxia		CIOV1		120.45	0.880785	0.774939	4705.14	63340600	19.903199999999998	339.425	4569340	10.4419	1	0	0	2	0	120.45	0.880785	4705.14	63340600	339.425	4569340	678	2	1	0	
1	1	0	4	3	1158	230	[947,61,1339,406]	-1018.01	-739.32	Normoxia		CIOV1		194.884	0.940054	0.879132	3214.26	70009700	31.7962	365.548	7962010	13.4666	1	0	0	4	0	194.884	0.940054	3214.26	70009700	365.548	7962010	328	1	0	0	
1	1	0	4	4	1827	308	[1615,136,1935,443]	-956.27	-747.17	Normoxia		CIOV1		93.9482	0.755957	0.65076	5344.09	56112900	18.281	337.568	3544460	10.4254	1	0	0	5	0	93.9482	0.755957	5344.09	56112900	337.568	3544460	320	1	0	0	
1	1	0	4	5	1617	416	[1453,206,1793,577]	-975.03	-755.49	Normoxia		CIOV1		162.378	0.797619	0.517417	2841.96	51575800	22.2956	364.074	6607220	18.2314	1	0	0	6	0	162.378	0.797619	2841.96	51575800	364.074	6607220	310	1	0	0	
1	1	0	4	6	505	446	[297,269,691,634]	-1080.81	-760.12	Normoxia		CIOV1		324.551	0.919573	0.803178	3750.3	136035000	25.0552	334.712	12141000	14.767	1	1	0	7	0	324.551	0.919573	3750.3	136035000	334.712	12141000	349	1	0	0	
1	1	0	4	7	1358	509	[1172,212,1563,701]	-998.76	-764.2	Normoxia		CIOV1		260.111	0.931257	0.753387	3708.96	107823000	27.8106	382.12	11108600	13.4375	1	0	0	8	0	260.111	0.931257	3708.96	107823000	382.12	11108600	509	2	1	0	
1	1	0	4	8	2048	426	[1881,308,2158,551]	-934.34	-759.62	Normoxia		CIOV1		116.487	0.837	0.528898	3388.14	44110200	20.6914	288.73	3758970	14.101	1	0	0	9	0	116.487	0.837	3388.14	44110200	288.73	3758970	0	0	0	0	
