"cell_line","drug","fit_GR","fit_rel_cell","CL","agent","concentration_points","ctrl_cell_doublings","GR50","GRmax","GR_AOC","GEC50","GRinf","h_GR","r2_GR","pval_GR","flat_fit_GR","IC50","Emax","AUC","EC50","Einf","h","r2_rel_cell","pval_rel_cell","flat_fit_rel_cell","exp","identifier"
"NIH-OVCAR3",10,"sigmoid","sigmoid","NIH-OVCAR3","Paclitaxel",10,2.24443465241593,0.000124391268707005,0.112256331656539,0.608325092210313,0.000105588783038099,0.066070163850352,0.864811924935191,0.496893306174663,6.65642953649292e-05,,0.000253525088698748,0.268443237683891,0.512576031722634,0.000134324413301479,0.236807233053357,1.01025883436385,0.664961029658563,2.24561114102724e-07,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",11,"sigmoid","sigmoid","NIH-OVCAR3","tozasertib",10,2.24443465241593,31.0359236163266,-0.704208447529711,0.247305641492708,49.7826195318361,-1,2.32500421507343,0.92858306675897,8.97876814846161e-17,,23.5566482765911,0.0137521456918118,0.787917079790565,23.5566482765911,0,0.982021379500699,0.807073541761432,9.89657868147224e-11,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",12,"sigmoid","sigmoid","NIH-OVCAR3","volasertib",10,2.24443465241593,0.0278604294089671,-0.750167613007673,0.991224945730902,0.443545795360693,-0.961189615648166,0.387483935879555,0.894445826803923,2.13135462565886e-14,,0.0218325276266598,0.00961935703572729,0.301432913469899,0.0197976285750503,0.128433967307716,3.03439470816875,0.925407061718721,1.65107957995238e-16,,"exp2","NIH-OVCAR3_exp2"
"OVCAR5",2,"sigmoid","sigmoid","OVCAR5","alisertib",10,3.00607591063872,16.9962299016566,-0.377183776391286,0.245907325347016,51.0910646404251,-1,0.998177583972929,0.970431341714062,3.90519438873059e-22,,10.8873322073013,0.0300886256797579,0.739635487596753,10.8873322073013,0,0.867447263294536,0.922031535461799,3.06807337728097e-16,,"exp2","OVCAR5_exp2"
"OVCAR5",3,"sigmoid","sigmoid","OVCAR5","az3146",10,3.00607591063872,6.72716106148087,-0.582750478556709,0.340410178041595,12.7975362109418,-0.704594480075192,1.36726934397997,0.98744581499897,2.4156796401342e-27,,5.03697868703952,0.00941815261353993,0.722567587821812,5.03697868703952,0,1.53848271951132,0.968287753595271,1.04034671964508e-21,,"exp2","OVCAR5_exp2"
"OVCAR5",4,"sigmoid","sigmoid","OVCAR5","barasertib",10,3.00607591063872,50.4042214330383,-0.224031634727227,0.120755492075536,81.887463123755,-1,2.26391510827558,0.965153415424234,3.89262933492127e-21,,43.1266522660237,0.0611585839605903,0.873709216846488,43.1266522660237,0,3.04972260943964,0.909500896879675,2.4718371375042e-15,,"exp2","OVCAR5_exp2"
"OVCAR5",5,"sigmoid","sigmoid","OVCAR5","bi2536",10,3.00607591063872,0.169849010111795,-0.591865723023099,0.787068996540168,1.24414472520218,-0.835605352204886,0.493413803278948,0.981732954735928,4.60634295061831e-25,,0.0857430544740374,0.0088495957881641,0.350534253032821,0.0851690295138684,0.00215347820148521,0.642566035420442,0.969097860443102,7.24168605450658e-22,,"exp2","OVCAR5_exp2"
"OVCAR5",6,"sigmoid","sigmoid","OVCAR5","cfi400945",10,3.00607591063872,25.2326184367004,-0.41024654539591,0.167858884900267,32.1286902157385,-0.472157642104691,2.75197523944737,0.988685068331299,5.63802630875006e-28,,22.2648519432645,0.02786192480019,0.848805251246911,21.9945296797592,0.0181895715544285,3.03363028023701,0.983027815737918,1.64561536548379e-25,,"exp2","OVCAR5_exp2"
"OVCAR5",7,"sigmoid","sigmoid","OVCAR5","cw069",10,3.00607591063872,109.082297622342,0.559231699422511,0.0360054849348925,148.407945189674,-0.466282868019737,2.14007571102633,0.904544706219739,5.21435097972082e-15,,77.5057792300353,0.475713960124949,0.954665252152218,45.3637442822224,0.465656540720051,5,0.881689357449333,1.05276971366107e-13,,"exp2","OVCAR5_exp2"
"OVCAR5",8,"sigmoid","sigmoid","OVCAR5","gsk923295",10,3.00607591063872,0.488880007555355,-0.542275254060644,0.556514056771512,17.8778072590977,-1,0.305238052574927,0.780390385907518,1.29506989685894e-09,,0.02872987586152,0.0120558690309569,0.438202330167449,0.0190082946811215,0.279669168836077,1.98390966295366,0.795942989298033,4.80447041305182e-10,,"exp2","OVCAR5_exp2"
