"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Cep164.Mean...Mean.per.Well","Centrosomes...Intensity...Cep164.Contrast...Mean.per.Well","Centrosomes...Cep164.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Cep164.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
1,8,0,188,0.411781242553,0.638043308771,2.91636757864,0.942332598971,0.841557811317,1558.80532,0.361340700617,0.989361702128,159,126.030841077,0.828136156486,0.625541612506,16177.1368298,186,5,0,"Stain3",NA,"OV-1946",5000,NA,"Plate17"
1,9,0,117,0.410529871282,0.646274254383,2.91380487896,0.935853668817,0.837646621227,1674.52133928,0.290145061563,0.940170940171,96,101.322173406,0.860468597255,0.636215059948,15827.3938154,110,5,0,"Stain3",NA,"OV-1946",5000,NA,"Plate17"
2,7,0,895,0.39493442091,0.6485861498,2.76642216084,0.931789691391,0.793788393487,1063.73935826,0.379994488243,0.982122905028,738,94.3208535683,0.823639558908,0.66719149612,12855.3253777,879,5,0,"Stain3",NA,"ES-2",4000,NA,"Plate18"
2,8,0,909,0.391205901017,0.644731703791,2.76218277405,0.924824930228,0.786254647856,985.390115081,0.358504887242,0.984598459846,716,97.5486679947,0.805484596033,0.656387091726,11736.5330142,895,5,0,"Stain3",NA,"ES-2",4000,NA,"Plate18"
2,9,0,949,0.387235435714,0.633810304425,2.73734973725,0.931653086206,0.785699515152,855.579422985,0.359419602694,0.990516332982,726,97.8918728674,0.800509581581,0.654948103324,12183.872792,940,5,0,"Stain3",NA,"ES-2",4000,NA,"Plate18"
3,7,0,49,0.323983089605,0.57556847446,2.72903089455,0.887808798991,0.751350808395,1522.94048326,0.420957441766,0.959183673469,131,115.944442676,0.5707216664,0.457700352957,5874.64088659,47,5,0,"Stain3",NA,"OV56N",10000,NA,"Plate18"
3,8,0,53,0.342026142071,0.568186987119,2.75826379655,0.917438363094,0.783239757516,1544.37042055,0.447598581117,0.981132075472,54,178.384188392,0.790508792932,0.584385968834,13587.2668816,52,5,0,"Stain3",NA,"OV56N",10000,NA,"Plate18"
3,9,0,66,0.320190441456,0.563736901173,2.6373716137,0.909120434386,0.743437033954,1822.99279766,0.459703055669,1,54,180.283426269,0.8164721713,0.634978088981,12442.844264,66,5,0,"Stain3",NA,"OV56N",10000,NA,"Plate18"
1,7,0,583,0.456307519571,0.653315217283,2.96910245815,0.945467126492,0.867811349081,1192.9093453,0.401430505072,0.991423670669,612,125.789983404,0.814947873738,0.592016318612,10736.8741818,578,5,0,"Stain3",NA,"TOV-1946",15000,NA,"Plate19"
1,8,0,584,0.471346596105,0.667455130414,2.99711416297,0.952227683015,0.88508499595,1027.59169832,0.38788860793,0.98801369863,623,126.150680253,0.817219746203,0.59086678036,10803.4363456,577,5,0,"Stain3",NA,"TOV-1946",15000,NA,"Plate19"
1,9,0,659,0.482181785922,0.678605367906,2.97846659697,0.953808571656,0.881440320078,974.346657882,0.347219958089,0.974203338392,654,119.377487821,0.836267820517,0.599735911079,11674.1942199,642,5,0,"Stain3",NA,"TOV-1946",15000,NA,"Plate19"
3,7,0,206,0.351969950864,0.619893509154,2.80065813758,0.924711119733,0.793509649379,549.421145731,0.125652290508,0.917475728155,211,212.546855324,0.891984691507,0.639053502934,9905.45073645,189,5,0,"Stain3",NA,"TOV-2835EP",15000,NA,"Plate19"
3,8,0,281,0.3612663602,0.629683544481,2.85115892804,0.928083382566,0.80024575107,775.106665495,0.120143137851,0.918149466192,268,214.491904405,0.900012477042,0.631632839462,9681.45319664,258,5,0,"Stain3",NA,"TOV-2835EP",15000,NA,"Plate19"
3,9,0,351,0.395164275646,0.657263494781,2.86089817607,0.93912330116,0.820552553604,600.544122263,0.206330077081,0.968660968661,254,203.007219303,0.889125904924,0.637853610617,10366.5417224,340,5,0,"Stain3",NA,"TOV-2835EP",15000,NA,"Plate19"
4,7,0,456,0.341911149215,0.533171166237,2.87863432367,0.939157612397,0.831775536098,1280.8113701,0.426405862256,0.986842105263,481,211.304628132,0.92751531242,0.696174846655,10448.6802415,450,5,0,"Stain3",NA,"TOV-3041G",15000,NA,"Plate19"
4,8,0,348,0.33961441098,0.53260929377,2.89952692516,0.937854891244,0.833163624225,867.664265652,0.342316935495,0.988505747126,413,212.127017337,0.941594216772,0.69459617224,11013.084251,344,5,0,"Stain3",NA,"TOV-3041G",15000,NA,"Plate19"
4,9,0,583,0.34077338007,0.534304775916,2.85478597349,0.935931081238,0.821099421183,1204.21461903,0.411116531925,0.989708404803,551,201.543683266,0.928491666253,0.682914608636,10757.1000551,577,5,0,"Stain3",NA,"TOV-3041G",15000,NA,"Plate19"
5,7,0,215,0.460281978131,0.674419204835,2.94285739803,0.952178973414,0.863748858549,1218.41254257,0.167263680371,0.925581395349,144,143.604192313,0.810363883191,0.567192579587,15714.3484983,199,5,0,"Stain3",NA,"TOV-3133G",15000,NA,"Plate19"
5,8,0,360,0.437851375636,0.661452762483,2.89562812989,0.944463756213,0.844813485097,963.531199648,0.128383936775,0.891666666667,210,140.624222986,0.749690812297,0.557404570476,14550.8102272,321,5,0,"Stain3",NA,"TOV-3133G",15000,NA,"Plate19"
5,9,0,549,0.460286810609,0.675420490763,2.92375479198,0.949057571371,0.856397500173,897.341632428,0.1614862373,0.927140255009,254,154.982361126,0.734153637813,0.549635990431,15032.2531058,509,5,0,"Stain3",NA,"TOV-3133G",15000,NA,"Plate19"
1,7,0,599,0.39769081642,0.657785049657,2.88016731363,0.93887508579,0.825001430251,818.590894881,0.26641805712,0.978297161937,488,170.610583874,0.874522274997,0.68412939121,11455.9356643,586,5,0,"Stain3",NA,"SNU-119",15000,NA,"Plate21"
1,8,0,467,0.408011879295,0.667846717918,2.88995461749,0.946017825454,0.836511575355,916.36030822,0.263240068791,0.96573875803,398,171.964412866,0.855508150103,0.666659547829,10940.7673166,451,5,0,"Stain3",NA,"SNU-119",15000,NA,"Plate21"
