"cell_line","sample_id","Cell.Type","Media","OxygenConditions","Provider","Type","subtype","subtype2","comment","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","s1","s2","s3","s4","s5","s6","s7"
"OV-3331","JBLAB-6340","OV-3331","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,30.15052453,2.937367107,7653.871788,14.36329916,0.02785277,0.049900041,0.295102507472783,0.155907632362328,0.340957496337684,0.0535451672716748,0,0.0827939738798413,0.0716932226756892
"OV-4453","JBLAB-6361","OV-4453","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,24.39401654,2.899562744,7864.23892,27.37885755,0.019721497,0.015527652,0.101821772996446,0.0535375501013712,0.082300950910761,0.205000723774729,0.205642411234414,0.0123830680564931,0.339313522925786
"OV-4485","JBLAB-6358","OV-4485","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,34.79687333,2.912761579,8769.412255,19.98045406,0.049359583,0.023082985,0.24761434261774,0,0.299492674242265,0,0.327232385250039,0,0.125660597889956
"OV-866 (2)","JBLAB-6369","OV-866(2)","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,26.72402597,2.905845785,6693.032904,13.48036487,0.023719677,0,0.112188532487271,0.161066716006687,0,0.225570643865863,0.0525002259323534,0.253470679064154,0.195203202643671
"OV-90","JBLAB-6329","OV-90","OSE","21%","unknown","HGSOC","HGSOC","HGSOC",NA,37.51169434,2.880615811,9816.847023,24.54385973,0.07351135,0.027473001,0.489363197674954,0.104826778246415,0.272261587512656,0.0156605437343591,0.0475600504893771,0.0703278423422392,0
"OV-90 (mes-masson)","JBLAB-6360","OV-90(MesMasson)","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,50.44310005,2.845031307,11295.27171,16.0904502,0.047056442,0.027649332,0.388172365033867,0.137877893317768,0.279702243119595,0,0.166597848889205,0.0276496496395652,0
"OVCAR-5","JBLAB-6384","OVCAR-5","DMEM/F-12","21%","canadian ovarian tissue bank","unknown","unknown","unknown","Problematic cell line: Possibly misidentified. Originally thought to be a high grade ovarian serous adenocarcinoma but suspected to have a upper gastrointestinal origin",14.58434826,2.977566929,8134.299409,3.301915515,0.02873701,0.047856165,0.358441690620417,0.128426980840178,0.140723543994878,0.150365261659839,0.093202310115382,0.0801024744453218,0.0487377383239839
"OVCAR-8","JBLAB-6390","OVCAR-8","RPMI 1640","21%","canadian ovarian tissue bank","HGSOC","HGSOC","HGSOC",NA,31.70680733,2.854939435,6664.400159,9.019460258,0.093203129,0.011228073,0.0584539990104444,0.206032470698802,0.34919801270615,0.101979334163274,0.0164145331840044,0.0757214183333968,0.192200231903928
"OVKATE","JBLAB-6379","OVKATE","RPMI 1640","21%","unknown","HGSOC","HGSOC","HGSOC",NA,25.24209167,2.953097827,13967.4628,5.338283063,0.026973009,NA,0.356235564011541,0.0815542851141581,0.392778492920289,0,0.0126157403011115,0.0166909090981788,0.140125008554722
"OVSAHO","JBLAB-6335","OVSAHO","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,29.09891951,2.972767421,9792.469199,41.45137648,0.050609409,0.062249487,0.183773894686545,0.0801691635805111,0.169284117913906,0.326374201862745,0.057463312515089,0.0463773060472429,0.136558003393961
